TimeUS,gpSA,gpHA,gpVA
 169437861, 0.439, 1.301, 2.259
 169637873, 0.392, 1.303, 2.265
 169837860, 0.365, 1.303, 2.271
 170038274, 0.398, 1.306, 2.281
 170238136, 0.356, 1.305, 2.283
 170438369, 0.375, 1.307, 2.292
 170638249, 0.302, 1.304, 2.292
 170838239, 0.347, 1.305, 2.304
 171038549, 0.314, 1.304, 2.308
 171238490, 0.307, 1.297, 2.303
 171438521, 0.384, 1.297, 2.311
 171638724, 0.361, 1.298, 2.317
 171838544, 0.409, 1.301, 2.325
 172038507, 0.408, 1.304, 2.33
 172238683, 0.374, 1.305, 2.332
 172441829, 0.387, 1.306, 2.336
 172641720, 0.308, 1.301, 2.331
 172841746, 0.378, 1.301, 2.335
 173041727, 0.381, 1.303, 2.339
 173242228, 0.342, 1.303, 2.345
 173442140, 0.354, 1.304, 2.349
 173642148, 0.334, 1.303, 2.352
 173842583, 0.346, 1.303, 2.356
 174042620, 0.293, 1.3, 2.354
 174242746, 0.301, 1.295, 2.347
 174442589, 0.391, 1.296, 2.352
 174645445, 0.388, 1.299, 2.358
 174845561, 0.445, 1.304, 2.37
 175045455, 0.372, 1.306, 2.376
 175245444, 0.342, 1.306, 2.379
 175445430, 0.423, 1.309, 2.388
 175645442, 0.415, 1.313, 2.399
 175845429, 0.334, 1.313, 2.402
 176065572, 0.457, 1.317, 2.415
 176228021, 0.374, 1.32, 2.418
 176448562, 0.429, 1.323, 2.426
 176648455, 0.372, 1.324, 2.427
 176848403, 0.371, 1.324, 2.433
 177048551, 0.301, 1.314, 2.365
 177228026, 0.201, 1.296, 2.318
 177427990, 0.296, 1.291, 2.314
 177648381, 0.279, 1.285, 2.313
 177828047, 0.397, 1.287, 2.32
 178027990, 0.258, 1.281, 2.315
 178248552, 0.282, 1.275, 2.305
 178448437, 0.261, 1.268, 2.295
 178648488, 0.227, 1.258, 2.284
 178828025, 0.251, 1.249, 2.264
 179048438, 0.307, 1.244, 2.25
 179248429, 0.275, 1.239, 2.245
 179448372, 0.305, 1.235, 2.232
 179648443, 0.26, 1.23, 2.229
 179848425, 0.259, 1.225, 2.227
 180028070, 0.391, 1.227, 2.234
 180228215, 0.271, 1.222, 2.219
 180428065, 0.337, 1.222, 2.222
 180628319, 0.289, 1.22, 2.221
 180828407, 0.385, 1.222, 2.226
 181028282, 0.351, 1.224, 2.229
 181228327, 0.355, 1.226, 2.236
 181428281, 0.369, 1.229, 2.239
 181648728, 0.317, 1.228, 2.236
 181848847, 0.325, 1.227, 2.238
 182048728, 0.424, 1.231, 2.249
 182248851, 0.347, 1.234, 2.249
 182428703, 0.331, 1.235, 2.251
 182648723, 0.333, 1.235, 2.25
 182828717, 0.368, 1.237, 2.255
 183048710, 0.365, 1.239, 2.26
 183228705, 0.321, 1.236, 2.252
 183428710, 0.333, 1.235, 2.252
 183628730, 0.325, 1.232, 2.235
 183828840, 0.378, 1.234, 2.237
 184028722, 0.346, 1.235, 2.238
 184228718, 0.379, 1.238, 2.243
 184428701, 0.385, 1.241, 2.246
 184649063, 0.335, 1.238, 2.235
 184849073, 0.361, 1.237, 2.237
 185049072, 0.389, 1.24, 2.235
 185249051, 0.356, 1.241, 2.23
 185449312, 0.364, 1.241, 2.225
 185649053, 0.254, 1.23, 2.181
 185849051, 0.426, 1.232, 2.186
 186069439, 0.257, 1.221, 2.128
 186249388, 0.243, 1.209, 2.076
 186449550, 0.28, 1.204, 2.052
 186629393, 0.201, 1.19, 2.029
 186829867, 0.347, 1.189, 2.029
 187049886, 0.208, 1.185, 2.018
 187229880, 0.344, 1.186, 2.022
 187430002, 0.35, 1.188, 2.027
 187650096, 0.346, 1.191, 2.029
 187853039, 0.379, 1.195, 2.036
 188053422, 0.347, 1.198, 2.042
 188253858, 0.327, 1.197, 2.038
 188433820, 0.358, 1.201, 2.048
 188654063, 0.44, 1.205, 2.056
 188853835, 0.427, 1.207, 2.062
 189054503, 0.406, 1.204, 2.059
 189234650, 0.374, 1.203, 2.063
 189434678, 0.417, 1.204, 2.067
 189634548, 0.318, 1.203, 2.061
 189834867, 0.391, 1.205, 2.068
 190038233, 0.33, 1.205, 2.071
 190238074, 0.331, 1.203, 2.077
 190438137, 0.346, 1.202, 2.084
 190638119, 0.302, 1.199, 2.087
 190838205, 0.333, 1.198, 2.09
 191057765, 0.317, 1.196, 2.094
 191237988, 0.338, 1.196, 2.1
 191438317, 0.384, 1.197, 2.106
 191638018, 0.326, 1.195, 2.11
 191838046, 0.427, 1.198, 2.12
 192058110, 0.299, 1.196, 2.108
 192238470, 0.29, 1.191, 2.107
 192438616, 0.304, 1.186, 2.101
 192638473, 0.322, 1.185, 2.104
 192838790, 0.353, 1.186, 2.105
 193038918, 0.383, 1.188, 2.111
 193242449, 0.295, 1.183, 2.08
 193442572, 0.426, 1.185, 2.089
 193642510, 0.301, 1.18, 2.057
 193842428, 0.387, 1.18, 2.057
 194062086, 0.333, 1.181, 2.055
 194242793, 0.327, 1.18, 2.047
 194422756, 0.328, 1.179, 2.049
 194642998, 0.299, 1.176, 2.038
 194842750, 0.319, 1.174, 2.029
 195042727, 0.27, 1.168, 2.019
 195243010, 0.286, 1.162, 2.008
 195442750, 0.375, 1.162, 2.002
 195642993, 0.327, 1.161, 1.997
 195842770, 0.328, 1.158, 1.99
 196042714, 0.394, 1.159, 1.985
 196243105, 0.3, 1.156, 1.961
 196423066, 0.384, 1.157, 1.965
 196643532, 0.362, 1.158, 1.962
 196843465, 0.385, 1.16, 1.958
 197023503, 0.365, 1.161, 1.961
 197243464, 0.32, 1.161, 1.963
 197443988, 0.372, 1.163, 1.968
 197644003, 0.34, 1.163, 1.969
 197844004, 0.37, 1.165, 1.973
 198044033, 0.372, 1.169, 1.978
 198247396, 0.248, 1.169, 1.974
 198427277, 0.392, 1.172, 1.981
 198627573, 0.365, 1.176, 1.984
 198827565, 0.432, 1.18, 1.99
 199027635, 0.459, 1.185, 2.001
 199247585, 0.336, 1.183, 1.989
 199427619, 0.5, 1.187, 2
 199627622, 0.356, 1.188, 1.981
 199847622, 0.371, 1.188, 1.982
 200047580, 0.36, 1.189, 1.984
 200247585, 0.321, 1.188, 1.983
 200448016, 0.336, 1.187, 1.984
 200648060, 0.321, 1.186, 1.983
 200848162, 0.36, 1.188, 1.985
 201048040, 0.359, 1.191, 1.988
 201248288, 0.289, 1.192, 1.988
 201448278, 0.351, 1.194, 1.995
 201648294, 0.286, 1.192, 1.994
 201829813, 0.249, 1.188, 1.991
 202048449, 0.378, 1.181, 1.986
 202229831, 0.324, 1.173, 1.981
 202429802, 0.319, 1.171, 1.984
 202630070, 0.35, 1.167, 1.973
 202830474, 0.382, 1.161, 1.964
 203030660, 0.356, 1.156, 1.958
 203230680, 0.35, 1.152, 1.952
 203430659, 0.371, 1.15, 1.945
 203649072, 0.317, 1.144, 1.937
 204032015, 0.394, 1.144, 1.945
 204232007, 0.317, 1.133, 1.915
 204432346, 0.411, 1.132, 1.917
 204632728, 0.409, 1.133, 1.92
 204832896, 0.422, 1.135, 1.924
 205053096, 0.429, 1.138, 1.928
 205253215, 0.372, 1.135, 1.925
 205453071, 0.418, 1.135, 1.929
 205634230, 0.37, 1.134, 1.932
 205833739, 0.424, 1.134, 1.938
 206056465, 0.416, 1.136, 1.944
 206236094, 0.437, 1.137, 1.95
 206436103, 0.423, 1.14, 1.953
 206636095, 0.372, 1.14, 1.939
 206836579, 0.404, 1.142, 1.941
 207040269, 0.413, 1.143, 1.941
 207239886, 0.4, 1.142, 1.938
 207419696, 0.446, 1.146, 1.946
 207640075, 0.321, 1.142, 1.925
 207840057, 0.324, 1.135, 1.902
 208040219, 0.329, 1.132, 1.887
 208240061, 0.3, 1.131, 1.886
 208440074, 0.392, 1.133, 1.889
 208640399, 0.234, 1.129, 1.871
 208840527, 0.277, 1.124, 1.865
 209040408, 0.314, 1.119, 1.848
 209240375, 0.347, 1.121, 1.852
 209440374, 0.369, 1.125, 1.858
 209640413, 0.327, 1.127, 1.862
 209840383, 0.46, 1.13, 1.871
 210021993, 0.422, 1.133, 1.879
 210240380, 0.315, 1.134, 1.883
 210440389, 0.439, 1.134, 1.887
 210640534, 0.399, 1.136, 1.885
 210840363, 0.38, 1.137, 1.89
 211040412, 0.429, 1.139, 1.895
 211240522, 0.417, 1.138, 1.897
 211440379, 0.459, 1.141, 1.908
 211640396, 0.425, 1.144, 1.911
 211840388, 0.464, 1.148, 1.918
 212060399, 0.237, 1.138, 1.884
 212240513, 0.327, 1.136, 1.879
 212440518, 0.356, 1.135, 1.876
 212640399, 0.264, 1.127, 1.845
 212840378, 0.323, 1.124, 1.845
 213040413, 0.318, 1.121, 1.841
 213240392, 0.218, 1.118, 1.835
 213440379, 0.393, 1.119, 1.84
 213640398, 0.376, 1.118, 1.84
 213840381, 0.415, 1.12, 1.845
 214040403, 0.403, 1.124, 1.852
 214240560, 0.408, 1.126, 1.855
 214440378, 0.457, 1.131, 1.865
 214640393, 0.418, 1.134, 1.869
 214840381, 0.374, 1.136, 1.876
 215040387, 0.404, 1.138, 1.878
 215240379, 0.445, 1.14, 1.885
 215440817, 0.405, 1.142, 1.89
 215640759, 0.376, 1.14, 1.887
 215840691, 0.464, 1.142, 1.896
 216040897, 0.354, 1.145, 1.902
 216241066, 0.419, 1.147, 1.903
 216441269, 0.393, 1.147, 1.907
 216641068, 0.349, 1.141, 1.886
 216841072, 0.328, 1.135, 1.866
 217041638, 0.277, 1.126, 1.847
 217241625, 0.337, 1.114, 1.835
 217441707, 0.375, 1.111, 1.835
 217641667, 0.285, 1.106, 1.831
 217821511, 0.385, 1.103, 1.832
 218042093, 0.345, 1.098, 1.829
 218241991, 0.374, 1.098, 1.831
 218441998, 0.362, 1.098, 1.833
 218641881, 0.368, 1.098, 1.834
 218841817, 0.392, 1.098, 1.838
 219041757, 0.225, 1.099, 1.841
 219241588, 0.33, 1.098, 1.841
 219441568, 0.351, 1.098, 1.842
 219641738, 0.348, 1.097, 1.843
 219841584, 0.377, 1.098, 1.846
 220041599, 0.372, 1.099, 1.848
 220241549, 0.337, 1.099, 1.85
 220421278, 0.355, 1.099, 1.852
 220641726, 0.317, 1.1, 1.855
 220841543, 0.304, 1.1, 1.857
 221041630, 0.265, 1.101, 1.859
 221241564, 0.297, 1.101, 1.861
 221441679, 0.359, 1.102, 1.864
 221641623, 0.346, 1.103, 1.866
 221841538, 0.33, 1.104, 1.871
 222041587, 0.377, 1.105, 1.873
 222241545, 0.36, 1.105, 1.875
 222441541, 0.346, 1.105, 1.877
 222641567, 0.344, 1.105, 1.876
 222841540, 0.252, 1.105, 1.878
 223021270, 0.308, 1.106, 1.88
 223241703, 0.269, 1.105, 1.881
 223441565, 0.301, 1.106, 1.883
 223641663, 0.294, 1.106, 1.885
 223841656, 0.307, 1.106, 1.886
 224061300, 0.361, 1.106, 1.888
 224241597, 0.369, 1.107, 1.892
 224441537, 0.307, 1.107, 1.893
 224641566, 0.275, 1.107, 1.894
 224841766, 0.32, 1.107, 1.895
 225041724, 0.304, 1.106, 1.896
 225241550, 0.254, 1.105, 1.896
