TimeUS,gpSA,gpHA,gpVA
 187906008, 0.236, 1.303, 2.035
 188125733, 0.362, 1.302, 2.037
 188325730, 0.22, 1.3, 2.035
 188525724, 0.356, 1.299, 2.039
 188725684, 0.282, 1.295, 2.035
 188945861, 0.381, 1.296, 2.041
 189125921, 0.282, 1.294, 2.036
 189325718, 0.299, 1.291, 2.038
 189525721, 0.333, 1.291, 2.04
 189725724, 0.324, 1.29, 2.035
 189925712, 0.383, 1.291, 2.039
 190125869, 0.452, 1.296, 2.048
 190325720, 0.428, 1.302, 2.058
 190506046, 0.426, 1.307, 2.068
 190725725, 0.388, 1.311, 2.076
 190925859, 0.348, 1.313, 2.082
 191125754, 0.448, 1.315, 2.089
 191325718, 0.349, 1.316, 2.097
 191525752, 0.298, 1.316, 2.098
 191725722, 0.27, 1.312, 2.092
 191925715, 0.368, 1.312, 2.098
 192126103, 0.357, 1.313, 2.103
 192326084, 0.348, 1.314, 2.107
 192526094, 0.402, 1.315, 2.113
 192726122, 0.295, 1.313, 2.113
 192906323, 0.328, 1.314, 2.118
 193106113, 0.363, 1.316, 2.124
 193326274, 0.278, 1.319, 2.129
 193526089, 0.352, 1.321, 2.134
 193726989, 0.358, 1.322, 2.137
 193926990, 0.365, 1.323, 2.142
 194126856, 0.294, 1.326, 2.144
 194327311, 0.308, 1.328, 2.147
 194527504, 0.316, 1.33, 2.15
 194727265, 0.322, 1.332, 2.153
 194947630, 0.376, 1.335, 2.16
 195127681, 0.385, 1.337, 2.164
 195327653, 0.338, 1.34, 2.166
 195527648, 0.247, 1.339, 2.159
 195727653, 0.275, 1.336, 2.149
 195927664, 0.333, 1.333, 2.14
 196127702, 0.29, 1.33, 2.133
 196327803, 0.316, 1.325, 2.124
 196527644, 0.324, 1.32, 2.118
 196727643, 0.262, 1.314, 2.11
 196927663, 0.243, 1.308, 2.108
 197127679, 0.172, 1.3, 2.102
 197327708, 0.361, 1.298, 2.105
 197527780, 0.306, 1.298, 2.105
 197727648, 0.324, 1.296, 2.102
 197927665, 0.387, 1.297, 2.104
 198127816, 0.325, 1.298, 2.105
 198308258, 0.332, 1.297, 2.106
 198528234, 0.323, 1.296, 2.105
 198728039, 0.24, 1.293, 2.103
 198928050, 0.318, 1.289, 2.101
 199130875, 0.313, 1.287, 2.101
 199330864, 0.329, 1.286, 2.099
 199530946, 0.33, 1.286, 2.098
 199730871, 0.345, 1.285, 2.094
 199931195, 0.382, 1.285, 2.095
 200131340, 0.345, 1.286, 2.096
 200331190, 0.337, 1.287, 2.098
 200531115, 0.393, 1.289, 2.101
 200711190, 0.269, 1.289, 2.1
 200911186, 0.377, 1.29, 2.102
 201111198, 0.401, 1.291, 2.105
 201311309, 0.363, 1.292, 2.108
 201511113, 0.3, 1.292, 2.111
 201711205, 0.416, 1.294, 2.114
 201911192, 0.378, 1.297, 2.119
 202111352, 0.362, 1.3, 2.123
 202311205, 0.402, 1.304, 2.13
 202511191, 0.408, 1.308, 2.137
 202731606, 0.41, 1.312, 2.143
 202931606, 0.384, 1.315, 2.148
 203131640, 0.313, 1.316, 2.152
 203331983, 0.31, 1.316, 2.154
 203512484, 0.334, 1.317, 2.154
 203712407, 0.302, 1.316, 2.154
 203912587, 0.296, 1.315, 2.158
 204112524, 0.235, 1.311, 2.156
 204312447, 0.325, 1.308, 2.16
 204512598, 0.343, 1.309, 2.164
 204712460, 0.321, 1.308, 2.169
 204932197, 0.345, 1.309, 2.176
 205132033, 0.282, 1.309, 2.183
 205332023, 0.276, 1.308, 2.189
 205532228, 0.35, 1.307, 2.194
 205732074, 0.334, 1.306, 2.198
 205932573, 0.312, 1.305, 2.203
 206112868, 0.261, 1.304, 2.207
 206332445, 0.421, 1.303, 2.213
 206532343, 0.433, 1.302, 2.217
 206732441, 0.29, 1.3, 2.221
 206932775, 0.369, 1.3, 2.227
 207113070, 0.442, 1.299, 2.232
 207313101, 0.351, 1.299, 2.238
 207513264, 0.285, 1.298, 2.241
 207732755, 0.2, 1.29, 2.229
 207913109, 0.357, 1.289, 2.235
 208132786, 0.294, 1.288, 2.237
 208332799, 0.367, 1.285, 2.237
 208513108, 0.393, 1.286, 2.242
 208732773, 0.218, 1.286, 2.242
 208932765, 0.432, 1.286, 2.245
 209132973, 0.366, 1.287, 2.246
 209332769, 0.345, 1.288, 2.248
 209532747, 0.455, 1.291, 2.253
 209732761, 0.306, 1.29, 2.249
 209932754, 0.345, 1.288, 2.245
 210132924, 0.324, 1.288, 2.243
 210332764, 0.329, 1.287, 2.241
 210513089, 0.321, 1.287, 2.239
 210713086, 0.293, 1.285, 2.234
 210913083, 0.345, 1.284, 2.233
 211132774, 0.259, 1.281, 2.23
 211313064, 0.269, 1.277, 2.227
 211532771, 0.289, 1.275, 2.229
 211732762, 0.245, 1.272, 2.224
 211932777, 0.331, 1.272, 2.225
 212133208, 0.285, 1.272, 2.224
 212333220, 0.416, 1.272, 2.224
 212533207, 0.416, 1.272, 2.224
 212713224, 0.309, 1.273, 2.223
 212933204, 0.314, 1.275, 2.223
 213113201, 0.401, 1.278, 2.226
 213313626, 0.365, 1.282, 2.231
 213513631, 0.42, 1.286, 2.237
 213713644, 0.33, 1.287, 2.239
 213913805, 0.339, 1.289, 2.243
 214134220, 0.338, 1.291, 2.246
 214334484, 0.396, 1.292, 2.248
 214534325, 0.328, 1.292, 2.248
 214734193, 0.319, 1.291, 2.247
 214934239, 0.413, 1.293, 2.25
 215134240, 0.356, 1.294, 2.252
 215334218, 0.385, 1.295, 2.257
 215513607, 0.36, 1.296, 2.26
 215713627, 0.315, 1.297, 2.258
 215913642, 0.378, 1.298, 2.259
 216134276, 0.354, 1.3, 2.257
 216314201, 0.341, 1.302, 2.257
 216514320, 0.335, 1.304, 2.258
 216714107, 0.312, 1.305, 2.253
 216914100, 0.331, 1.307, 2.254
 217134119, 0.249, 1.306, 2.25
 217314352, 0.279, 1.304, 2.246
 217518544, 0.302, 1.301, 2.239
 217737091, 0.358, 1.299, 2.233
 217918854, 0.366, 1.299, 2.234
 218137217, 0.352, 1.299, 2.232
 218318818, 0.376, 1.298, 2.233
 218518983, 0.368, 1.3, 2.236
 218720088, 0.265, 1.3, 2.232
 218940641, 0.337, 1.3, 2.233
 219120056, 0.323, 1.301, 2.233
 219320239, 0.362, 1.302, 2.237
 219520046, 0.339, 1.303, 2.238
 219720071, 0.335, 1.304, 2.239
 219920028, 0.374, 1.304, 2.241
 220120073, 0.356, 1.305, 2.239
 220320246, 0.336, 1.304, 2.23
 220520257, 0.289, 1.303, 2.225
 220720059, 0.358, 1.302, 2.22
 220920056, 0.461, 1.303, 2.222
 221120059, 0.379, 1.305, 2.225
