TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
124988589,5.662021,5.838848,0.5285178,0.351691,0.3955408,-1.026046,-1.135147,-1.335911
125088568,5.709892,5.872539,0.4309288,0.2682823,0.30625,-0.9260631,-1.036527,-1.227189
125188649,5.748516,5.900147,0.3433363,0.1917042,0.2234826,-0.8260799,-0.9858823,-1.146883
125288582,5.778877,5.918826,0.2657391,0.1257897,0.1587662,-0.7260948,-0.8231085,-1.039284
125388611,5.801992,5.930096,0.1981162,0.07001253,0.1283906,-0.6260734,-0.7468414,-0.9308457
125488675,5.818848,5.939047,0.1404977,0.02029808,0.007519246,-0.5260521,-0.5998162,-0.8354563
125588685,5.830439,5.945197,0.09288333,-0.02187436,0.004148003,-0.4260307,-0.5681535,-0.7439471
125688585,5.837763,5.947824,0.05527328,-0.05478715,-0.02113693,-0.3260094,-0.4753496,-0.6364777
125788775,5.841816,5.947866,0.0276675,-0.0783823,-0.07285787,-0.225988,-0.3452026,-0.5569723
125888621,5.843633,5.945296,0.01006532,-0.09159788,-0.08480707,-0.1260938,-0.2672561,-0.4585618
125988630,5.84417,5.941044,0.001957248,-0.09491714,-0.08451418,-0.04197819,-0.1621891,-0.3544581
126088526,5.844228,5.935678,7.54E-05,-0.09137356,-0.07526396,-0.003875382,-0.1254316,-0.2692856
126188631,5.844238,5.930235,0,-0.08599731,-0.07601574,0,-0.132587,-0.2242296
126288519,5.844238,5.925912,0,-0.08167358,-0.0582201,0,-0.2025473,-0.214043
126388648,5.844238,5.923212,0,-0.07897339,-0.04210895,0,-0.2331196,-0.2282439
126488661,5.844238,5.922473,0,-0.07823486,-0.01664509,0,-0.2975764,-0.2601241
126588562,5.844238,5.923076,0,-0.07883789,-0.005146946,0,-0.3211982,-0.296353
126688711,5.844238,5.923905,0,-0.07966675,-0.01364554,0,-0.28515,-0.3161578
126788633,5.844238,5.925605,0,-0.08136719,0.006260113,0,-0.3163693,-0.3432389
126888610,5.844238,5.930534,0,-0.08629639,0.01374832,0,-0.3727482,-0.3509529
126988626,5.844238,5.937341,0,-0.09310242,-0.02377097,0,-0.3567174,-0.3715093
