TimeUS,gpSA,gpHA,gpVA
 271953091, 0.366, 1.22, 2.099
 272153111, 0.426, 1.22, 2.096
 272356039, 0.356, 1.22, 2.092
 272554712, 0.413, 1.221, 2.09
 272755559, 0.339, 1.221, 2.068
 272956076, 0.341, 1.219, 2.044
 273156520, 0.338, 1.219, 2.042
 273356540, 0.328, 1.218, 2.043
 273555869, 0.328, 1.217, 2.048
 273735676, 0.349, 1.215, 2.055
 273955741, 0.402, 1.214, 2.062
 274155720, 0.315, 1.213, 2.07
 274355897, 0.429, 1.21, 2.075
 274555886, 0.405, 1.208, 2.082
 274756470, 0.346, 1.206, 2.089
 274955878, 0.287, 1.202, 2.094
 275155883, 0.399, 1.2, 2.099
 275356028, 0.31, 1.197, 2.104
 275555880, 0.358, 1.197, 2.111
 275757071, 0.356, 1.196, 2.117
 275955880, 0.35, 1.194, 2.122
 276155843, 0.343, 1.194, 2.127
 276336259, 0.349, 1.194, 2.124
 276556242, 0.338, 1.194, 2.121
 276756256, 0.325, 1.194, 2.119
 276956235, 0.412, 1.195, 2.119
 277156415, 0.385, 1.196, 2.12
 277356270, 0.304, 1.194, 2.119
 277556235, 0.349, 1.194, 2.126
 277756274, 0.298, 1.192, 2.128
 277956244, 0.294, 1.189, 2.132
 278156259, 0.327, 1.188, 2.137
 278356260, 0.364, 1.188, 2.141
 278556587, 0.334, 1.19, 2.145
 278756615, 0.332, 1.191, 2.145
 278936586, 0.326, 1.19, 2.143
 279156591, 0.353, 1.191, 2.145
 279356595, 0.301, 1.19, 2.145
 279556605, 0.3, 1.188, 2.145
 279756591, 0.327, 1.184, 2.147
 279956581, 0.311, 1.179, 2.142
 280156589, 0.304, 1.178, 2.139
 280356608, 0.266, 1.174, 2.132
 280557082, 0.299, 1.171, 2.129
 280757313, 0.273, 1.167, 2.127
 280957091, 0.291, 1.163, 2.128
 281157083, 0.335, 1.164, 2.134
 281359672, 0.324, 1.165, 2.13
 281539591, 0.331, 1.165, 2.128
 281759677, 0.327, 1.165, 2.126
 281939651, 0.366, 1.166, 2.131
 282159653, 0.345, 1.167, 2.13
 282339670, 0.339, 1.165, 2.124
 282559674, 0.335, 1.164, 2.121
 282739638, 0.305, 1.163, 2.118
 282939792, 0.312, 1.161, 2.114
 283159635, 0.315, 1.159, 2.111
 283359692, 0.249, 1.156, 2.105
 283539653, 0.307, 1.156, 2.104
 283759686, 0.341, 1.155, 2.101
 283959654, 0.342, 1.153, 2.098
 284139820, 0.376, 1.153, 2.105
 284339677, 0.354, 1.155, 2.108
 284539659, 0.406, 1.158, 2.108
 284739837, 0.383, 1.161, 2.105
 284959675, 0.335, 1.164, 2.1
 285139713, 0.402, 1.167, 2.098
 285359653, 0.378, 1.17, 2.094
 285559637, 0.403, 1.173, 2.092
 285761647, 0.333, 1.174, 2.088
 285961262, 0.329, 1.174, 2.078
 286160548, 0.34, 1.174, 2.073
 286340087, 0.303, 1.173, 2.05
 286560556, 0.357, 1.174, 2.029
 286740066, 0.326, 1.175, 2.008
 286960534, 0.313, 1.175, 2.001
 287161280, 0.353, 1.176, 1.998
 287360575, 0.324, 1.177, 1.994
 287560501, 0.352, 1.178, 1.993
 287740094, 0.39, 1.181, 1.996
 287940063, 0.331, 1.182, 2.001
 288140064, 0.355, 1.183, 2.008
 288340310, 0.359, 1.184, 2.015
 288561279, 0.359, 1.185, 2.021
 288760847, 0.356, 1.185, 2.022
 288940071, 0.347, 1.185, 2.019
 289160553, 0.343, 1.184, 2.02
 289340114, 0.331, 1.182, 2.012
 289561245, 0.346, 1.183, 2.012
 289740061, 0.343, 1.184, 2.012
 289940069, 0.321, 1.181, 2.008
 290140579, 0.392, 1.18, 2.009
 290340371, 0.302, 1.178, 2.005
 290540348, 0.343, 1.179, 2.006
 290740459, 0.313, 1.178, 1.99
 290940359, 0.31, 1.178, 1.975
 291140360, 0.314, 1.178, 1.961
 291360827, 0.328, 1.176, 1.944
 291540358, 0.318, 1.174, 1.929
 291740350, 0.319, 1.174, 1.927
 291940577, 0.317, 1.173, 1.929
 292140358, 0.35, 1.172, 1.932
 292340375, 0.328, 1.172, 1.936
 292540557, 0.334, 1.173, 1.942
 292740461, 0.377, 1.172, 1.946
 292940360, 0.32, 1.171, 1.951
 293140375, 0.342, 1.172, 1.957
 293340378, 0.454, 1.173, 1.964
 293540568, 0.416, 1.174, 1.972
 293760807, 0.249, 1.171, 1.978
 293960927, 0.258, 1.166, 1.982
 294160780, 0.255, 1.161, 1.981
 294340375, 0.191, 1.15, 1.977
 294560793, 0.288, 1.143, 1.976
 294761620, 0.385, 1.138, 1.978
 294960790, 0.348, 1.132, 1.977
 295140381, 0.283, 1.128, 1.977
 295360935, 0.246, 1.122, 1.968
 295560804, 0.311, 1.121, 1.962
 295760802, 0.324, 1.122, 1.956
 295961580, 0.308, 1.123, 1.949
 296140355, 0.332, 1.124, 1.95
 296340365, 0.318, 1.126, 1.952
 296561172, 0.347, 1.128, 1.954
 296761254, 0.351, 1.13, 1.956
 296940789, 0.344, 1.132, 1.958
 297140794, 0.364, 1.135, 1.962
 297340966, 0.35, 1.138, 1.962
 297540803, 0.401, 1.141, 1.962
 297740949, 0.363, 1.143, 1.962
 297940795, 0.34, 1.145, 1.957
 298140809, 0.381, 1.147, 1.959
 298340821, 0.387, 1.151, 1.96
 298540801, 0.376, 1.155, 1.962
 298761993, 0.383, 1.159, 1.965
 298961332, 0.381, 1.162, 1.966
 299161145, 0.38, 1.165, 1.973
 299340820, 0.383, 1.168, 1.981
 299540808, 0.371, 1.171, 1.989
 299740803, 0.375, 1.174, 1.992
 299960845, 0.386, 1.176, 1.994
 300140807, 0.404, 1.18, 1.995
