TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 136016405, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136018904, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136021403, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136023902, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136026401, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136028900, -353642143, 1491652791, -1006802413, -0.172, -0.052, 1.469
 136031399, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136033898, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136036397, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136038896, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136041395, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136043894, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136046393, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136048892, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136051391, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136053890, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136056389, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136058888, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136061387, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136063886, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136066385, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136068884, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136071383, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136073882, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136076381, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136078880, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136081379, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136083878, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136086377, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136088876, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136091375, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136093874, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136096373, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136098872, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136101371, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136103870, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136106369, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136108868, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136111367, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136113866, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136116365, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136118864, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136121363, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136123862, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136126361, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136128860, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136131359, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136133858, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136136357, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136138856, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136141355, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136143854, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136146353, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136148852, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136151351, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136153850, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136156349, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136158848, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136161347, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136163846, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136166345, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136168844, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136171343, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136173842, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136176341, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136178840, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136181339, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136183838, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136186337, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136188836, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136191335, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136193834, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136196333, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136198832, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136201331, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136203830, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136206329, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136208828, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136211327, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136213826, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
