TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 166871032, -0.2005433, -0.2005433, -0.02511829, -0.02511829, -0.02511829, 0, 3.712998E-05, 3.712998E-05
PSCN, 166971101, -0.2013172, -0.2013172, -0.01589558, -0.01589558, -0.01589558, 0, 3.715428E-05, 3.715428E-05
PSCN, 167071095, -0.2007384, -0.2007384, -0.000444999, -0.000444999, -0.000444999, 0, 3.713902E-05, 3.713902E-05
PSCN, 167171101, -0.2000424, -0.2000424, -0.008247903, -0.008247903, -0.008247903, 0, 3.713128E-05, 3.713128E-05
PSCN, 167271027, -0.1987406, -0.1987406, 0.003157185, 0.003157185, 0.003157185, 0, 3.712646E-05, 3.712646E-05
PSCN, 167371193, -0.1975994, -0.1975994, 0.001366498, 0.001366498, 0.001366498, 0, 3.713184E-05, 3.713184E-05
PSCN, 167471058, -0.1973588, -0.1973588, -0.006864432, -0.006864432, -0.006864432, 0, 3.715762E-05, 3.715762E-05
PSCN, 167571037, -0.1973782, -0.1973782, -0.02173409, -0.02173409, -0.02173409, 0, 3.716043E-05, 3.716043E-05
PSCN, 167671282, -0.1975784, -0.1975784, -0.003865592, -0.003865592, -0.003865592, 0, 3.714571E-05, 3.714571E-05
PSCN, 167771065, -0.1977794, -0.1977794, 0.008270125, 0.008270125, 0.008270125, 0, 3.712717E-05, 3.712717E-05
PSCN, 167871144, -0.1976701, -0.1976701, 0.008613516, 0.008613516, 0.008613516, 0, 3.713677E-05, 3.713677E-05
PSCN, 167971083, -0.1973375, -0.1973375, -0.003318809, -0.003318809, -0.003318809, 0, 3.71549E-05, 3.71549E-05
PSCN, 168071107, -0.1967006, -0.1967006, 0.009761729, 0.009761729, 0.009761729, 0, 3.714639E-05, 3.714639E-05
PSCN, 168171020, -0.1961482, -0.1961482, 0.0121724, 0.0121724, 0.0121724, 0, 3.713726E-05, 3.713726E-05
PSCN, 168271105, -0.1950522, -0.1950522, -0.007483223, -0.007483223, -0.007483223, 0, 3.714688E-05, 3.714688E-05
PSCN, 168371012, -0.1937932, -0.1937932, 0.01471522, 0.01471522, 0.01471522, 0, 3.714117E-05, 3.714117E-05
