TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 242036571, 1.344213, 1.344213, 0.01006965, 0.01006965, 0.01006965, 0, -8.108317E-06, -8.107415E-06
PSCN, 242136458, 1.343204, 1.343204, 0.009792131, 0.009792131, 0.009792131, 0, -8.070091E-06, -8.069187E-06
PSCN, 242236501, 1.341866, 1.341866, 0.009831945, 0.009831945, 0.009831945, 0, -8.033868E-06, -8.032965E-06
PSCN, 242336494, 1.340402, 1.340402, 0.009290713, 0.009290713, 0.009290713, 0, -7.995065E-06, -7.994159E-06
PSCN, 242436475, 1.338406, 1.338406, 0.00872349, 0.00872349, 0.00872349, 0, -7.957856E-06, -7.956949E-06
PSCN, 242536447, 1.336405, 1.336405, 0.00771457, 0.00771457, 0.00771457, 0, -7.921954E-06, -7.921039E-06
PSCN, 242636540, 1.334006, 1.334006, 0.006940631, 0.006940631, 0.006940631, 0, -7.883663E-06, -7.882751E-06
PSCN, 242736468, 1.332705, 1.332705, 0.00681629, 0.00681629, 0.00681629, 0, -7.850525E-06, -7.84962E-06
PSCN, 242836464, 1.33247, 1.33247, 0.007643596, 0.007643596, 0.007643596, 0, -7.815759E-06, -7.814851E-06
PSCN, 242936524, 1.332729, 1.332729, 0.008818695, 0.008818695, 0.008818695, 0, -7.777892E-06, -7.776981E-06
PSCN, 243037087, 1.333434, 1.333434, 0.0101893, 0.0101893, 0.0101893, 0, -7.739185E-06, -7.738272E-06
PSCN, 243136617, 1.33365, 1.33365, 0.01084083, 0.01084083, 0.01084083, 0, -7.024267E-06, -6.987913E-06
PSCN, 243236553, 1.333021, 1.333021, 0.01051608, 0.01051608, 0.01051608, 0, -4.858248E-06, -4.785346E-06
PSCN, 243336586, 1.332548, 1.332548, 0.01031431, 0.01031431, 0.01031431, 0, -1.224611E-06, -1.115011E-06
PSCN, 243436603, 1.332021, 1.332021, 0.01051373, 0.01051373, 0.01051373, 0, 3.872163E-06, 4.018084E-06
PSCN, 243536709, 1.331277, 1.331277, 0.009993133, 0.009993133, 0.009993133, 0, 1.039753E-05, 1.057815E-05
PSCN, 243636702, 1.329886, 1.329886, 0.008365816, 0.008365816, 0.008365816, 0, 1.233239E-05, 1.359522E-05
PSCN, 243736608, 1.328338, 1.328338, 0.006436187, 0.006436187, 0.006436187, 0, 1.397061E-05, 1.24876E-05
PSCN, 243836699, 1.326254, 1.326254, 0.004198922, 0.004198922, 0.004198922, 0, 1.222797E-05, 1.186592E-05
PSCN, 243936534, 1.32442, 1.32442, 0.003201747, 0.003201747, 0.003201747, 0, 1.292074E-05, 1.206668E-05
PSCN, 244036572, 1.322743, 1.322743, 0.002761289, 0.002761289, 0.002761289, 0, 1.351096E-05, 1.258787E-05
PSCN, 244136528, 1.320362, 1.320362, 0.0004162948, 0.0004162948, 0.0004162948, 0, 1.113385E-05, 1.235928E-05
PSCN, 244236557, 1.314651, 1.314651, -0.007628561, -0.007628561, -0.007628561, 0, 1.113411E-05, 1.2538E-05
PSCN, 244336592, 1.308941, 1.308941, -0.01420304, -0.01420304, -0.01420304, 0, 1.214102E-05, 1.25134E-05
PSCN, 244436498, 1.303025, 1.303025, -0.01908744, -0.01908744, -0.01908744, 0, 1.457253E-05, 1.346963E-05
PSCN, 244536540, 1.297461, 1.297461, -0.02297637, -0.02297637, -0.02297637, 0, 1.253933E-05, 1.278341E-05
PSCN, 244636580, 1.292241, 1.292241, -0.02570369, -0.02570369, -0.02570369, 0, 1.409233E-05, 1.420267E-05
PSCN, 244736642, 1.287703, 1.287703, -0.02707007, -0.02707007, -0.02707007, 0, 1.398723E-05, 1.444316E-05
PSCN, 244836579, 1.283971, 1.283971, -0.02815484, -0.02815484, -0.02815484, 0, 1.379846E-05, 1.345655E-05
PSCN, 244936619, 1.281046, 1.281046, -0.02827135, -0.02827135, -0.02827135, 0, 1.032329E-05, 1.044094E-05
PSCN, 245036652, 1.279521, 1.279521, -0.02588899, -0.02588899, -0.02588899, 0, 1.020584E-05, 1.020584E-05
PSCN, 245136556, 1.278111, 1.278111, -0.02426004, -0.02426004, -0.02426004, 0, 1.021017E-05, 1.021018E-05
PSCN, 245236572, 1.276661, 1.276661, -0.02304392, -0.02304392, -0.02304392, 0, 1.021721E-05, 1.02172E-05
PSCN, 245336588, 1.275549, 1.275549, -0.02433939, -0.02433939, -0.02433939, 0, 1.021641E-05, 1.021641E-05
PSCN, 245436642, 1.274878, 1.274878, -0.02301396, -0.02301396, -0.02301396, 0, 1.024255E-05, 1.024255E-05
PSCN, 245536531, 1.274154, 1.274154, -0.01751732, -0.01751732, -0.01751732, 0, 1.021521E-05, 1.021521E-05
PSCN, 245636877, 1.273426, 1.273426, -0.02412351, -0.02412351, -0.02412351, 0, 1.021016E-05, 1.021016E-05
PSCN, 245736621, 1.272661, 1.272661, -0.006302737, -0.006302737, -0.006302737, 0, 1.02163E-05, 1.021629E-05
PSCN, 245836582, 1.271827, 1.271827, -0.01561165, -0.01561165, -0.01561165, 0, 1.023555E-05, 1.023556E-05
