TimeUS,gpSA,gpHA,gpVA
 117996141, 0.389, 1.288, 1.818
 118196128, 0.345, 1.289, 1.818
 118375799, 0.343, 1.286, 1.814
 118575723, 0.371, 1.286, 1.816
 118796271, 0.415, 1.286, 1.82
 118976002, 0.443, 1.287, 1.823
 119196117, 0.473, 1.287, 1.829
 119396151, 0.466, 1.288, 1.834
 119575800, 0.43, 1.289, 1.836
 119796132, 0.376, 1.287, 1.837
 119975781, 0.423, 1.288, 1.843
 120175980, 0.417, 1.289, 1.848
 120375812, 0.391, 1.29, 1.853
 120596421, 0.41, 1.292, 1.853
 120776026, 0.412, 1.292, 1.852
 120975776, 0.423, 1.294, 1.852
 121196124, 0.408, 1.296, 1.854
 121375804, 0.416, 1.299, 1.859
 121575767, 0.461, 1.302, 1.864
 121796138, 0.399, 1.305, 1.869
 121996163, 0.393, 1.306, 1.873
 122196125, 0.413, 1.308, 1.873
 122396250, 0.396, 1.308, 1.872
 122596168, 0.415, 1.309, 1.873
 122796136, 0.408, 1.31, 1.875
 122975789, 0.424, 1.313, 1.882
 123196115, 0.431, 1.316, 1.886
 123396114, 0.402, 1.316, 1.886
 123596128, 0.378, 1.316, 1.885
 123796257, 0.367, 1.315, 1.885
 123996113, 0.367, 1.315, 1.889
 124175820, 0.36, 1.315, 1.888
 124396115, 0.362, 1.314, 1.886
 124596125, 0.367, 1.312, 1.882
 124796264, 0.334, 1.31, 1.878
 124996119, 0.316, 1.307, 1.875
 125196129, 0.313, 1.304, 1.872
 125396116, 0.32, 1.299, 1.863
 125596132, 0.388, 1.298, 1.861
 125796168, 0.353, 1.298, 1.86
 125975776, 0.387, 1.297, 1.861
 126196099, 0.367, 1.296, 1.854
 126375847, 0.354, 1.292, 1.847
 126575792, 0.411, 1.29, 1.846
 126775798, 0.366, 1.288, 1.84
 126996114, 0.43, 1.286, 1.839
 127196134, 0.42, 1.285, 1.838
 127396116, 0.429, 1.285, 1.838
 127596143, 0.425, 1.285, 1.837
 127796337, 0.4, 1.284, 1.835
 127996234, 0.379, 1.283, 1.832
 128196100, 0.421, 1.283, 1.834
 128396156, 0.352, 1.283, 1.831
 128596130, 0.384, 1.281, 1.831
 128796150, 0.304, 1.276, 1.823
 128996240, 0.334, 1.273, 1.821
 129196120, 0.289, 1.268, 1.808
 129375803, 0.272, 1.263, 1.8
 129596267, 0.354, 1.261, 1.796
 129796194, 0.413, 1.261, 1.796
 129996126, 0.388, 1.262, 1.798
 130196110, 0.376, 1.264, 1.802
 130396162, 0.379, 1.264, 1.805
 130575768, 0.352, 1.265, 1.81
 130775813, 0.38, 1.266, 1.812
 130996144, 0.393, 1.266, 1.815
 131196117, 0.356, 1.266, 1.817
 131396246, 0.324, 1.264, 1.816
 131575999, 0.378, 1.265, 1.822
 131776020, 0.398, 1.267, 1.827
 131975781, 0.374, 1.267, 1.828
 132196255, 0.367, 1.267, 1.825
 132396151, 0.325, 1.265, 1.821
 132596141, 0.401, 1.265, 1.822
 132796136, 0.359, 1.267, 1.825
 132975773, 0.363, 1.268, 1.827
 133175784, 0.333, 1.267, 1.827
 133376031, 0.416, 1.268, 1.83
 133575787, 0.379, 1.27, 1.834
 133775804, 0.394, 1.27, 1.836
 133996117, 0.331, 1.267, 1.836
 134175761, 0.375, 1.266, 1.834
 134375815, 0.372, 1.264, 1.83
 134575793, 0.321, 1.262, 1.83
 134796160, 0.238, 1.256, 1.821
 134996313, 0.267, 1.249, 1.814
 135196110, 0.289, 1.244, 1.807
 135396135, 0.234, 1.239, 1.799
 135596141, 0.263, 1.235, 1.792
 135775821, 0.268, 1.232, 1.786
 135975905, 0.271, 1.229, 1.78
 136175767, 0.241, 1.227, 1.774
 136375811, 0.231, 1.225, 1.767
 136575765, 0.306, 1.224, 1.761
 136775857, 0.294, 1.222, 1.754
 136976039, 0.287, 1.221, 1.747
 137175791, 0.342, 1.221, 1.743
 137375801, 0.303, 1.22, 1.739
 137596146, 0.312, 1.22, 1.736
 137796060, 0.312, 1.22, 1.733
 137996111, 0.272, 1.221, 1.731
 138196112, 0.288, 1.221, 1.729
 138396121, 0.266, 1.222, 1.726
 138575792, 0.36, 1.223, 1.725
 138796122, 0.326, 1.223, 1.724
 138996136, 0.296, 1.221, 1.723
 139196113, 0.254, 1.22, 1.722
 139396113, 0.259, 1.219, 1.72
 139596163, 0.256, 1.216, 1.717
 139775789, 0.287, 1.215, 1.716
 139996115, 0.275, 1.214, 1.714
 140196113, 0.295, 1.214, 1.712
 140396252, 0.331, 1.215, 1.71
 140596242, 0.391, 1.216, 1.709
 140796126, 0.325, 1.217, 1.707
 140996131, 0.395, 1.218, 1.706
 141175985, 0.323, 1.22, 1.705
 141375803, 0.358, 1.221, 1.702
 141575795, 0.322, 1.221, 1.701
 141796054, 0.307, 1.222, 1.699
 141996122, 0.345, 1.224, 1.698
 142196258, 0.41, 1.227, 1.697
 142375957, 0.256, 1.229, 1.696
 142596123, 0.244, 1.23, 1.695
 142796131, 0.217, 1.229, 1.693
 142996105, 0.232, 1.228, 1.692
 143196111, 0.239, 1.227, 1.69
 143396127, 0.2, 1.226, 1.688
 143575807, 0.305, 1.226, 1.688
 143775734, 0.399, 1.226, 1.687
 143975809, 0.407, 1.228, 1.686
 144176008, 0.361, 1.228, 1.681
 144375940, 0.359, 1.227, 1.676
 144575781, 0.385, 1.228, 1.674
 144796260, 0.291, 1.229, 1.672
 144975771, 0.261, 1.23, 1.67
 145175768, 0.394, 1.232, 1.668
 145376038, 0.389, 1.233, 1.665
 145596163, 0.357, 1.234, 1.661
 145796393, 0.313, 1.235, 1.659
 145996117, 0.301, 1.235, 1.658
 146196147, 0.358, 1.235, 1.658
 146375785, 0.302, 1.233, 1.654
 146596136, 0.288, 1.231, 1.654
 146796128, 0.255, 1.23, 1.654
 146996119, 0.156, 1.228, 1.65
 147196126, 0.245, 1.225, 1.648
 147396121, 0.255, 1.222, 1.646
 147575775, 0.242, 1.22, 1.644
 147776020, 0.284, 1.218, 1.642
 147975787, 0.311, 1.216, 1.639
 148175777, 0.321, 1.215, 1.638
 148375804, 0.325, 1.215, 1.635
 148575984, 0.331, 1.214, 1.632
 148775807, 0.301, 1.212, 1.628
 148975802, 0.303, 1.21, 1.627
 149175755, 0.322, 1.207, 1.627
 149375821, 0.309, 1.205, 1.627
 149576035, 0.359, 1.205, 1.629
 149775804, 0.318, 1.204, 1.626
 149975788, 0.396, 1.205, 1.628
 150175773, 0.397, 1.206, 1.631
 150375796, 0.316, 1.206, 1.63
 150575797, 0.22, 1.203, 1.628
 150775795, 0.198, 1.2, 1.627
 150975778, 0.286, 1.198, 1.627
 151175786, 0.276, 1.196, 1.627
 151376038, 0.313, 1.194, 1.626
 151575787, 0.305, 1.191, 1.625
 151775816, 0.208, 1.189, 1.625
 151975788, 0.235, 1.186, 1.625
 152175773, 0.269, 1.185, 1.626
 152375786, 0.272, 1.183, 1.623
 152575797, 0.299, 1.181, 1.62
 152775921, 0.326, 1.18, 1.618
 152975779, 0.285, 1.179, 1.617
 153176001, 0.2, 1.178, 1.614
 153375801, 0.23, 1.176, 1.611
 153575760, 0.297, 1.175, 1.608
 153776017, 0.254, 1.173, 1.605
 153975740, 0.192, 1.172, 1.604
