TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 55813499, 9.114859, -0.05570396, -9.86837, 0.0008059663, 0.000809045, 0.0005965393, 0.05898489, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55833491, 9.190483, 0.002601524, -9.875914, 0.000809489, 0.0008111016, 0.0006673225, 0.3454829, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55853483, 9.555406, -0.1184395, -9.874601, 0.0008151092, 0.0008085963, 0.0007699955, 0.3454829, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55873475, 9.628486, 0.06196939, -9.877315, 0.0008095074, 0.0008166854, 0.0007883927, 0.3454829, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55894300, 9.900549, 0.07885026, -9.873965, 0.0008101797, 0.000814446, 0.000787608, 0.3454829, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55914292, 10.09833, -0.07609861, -9.874691, 0.0008150852, 0.0008123086, 0.0007728466, 0.3454829, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55934284, 10.32835, 0.08282821, -9.87711, 0.0008124505, 0.0008188811, 0.0007808509, -0.03370565, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55954276, 10.47209, -0.07787742, -9.879132, 0.0008163538, 0.0008189098, 0.0008013017, -0.03370565, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55974268, 10.5484, -0.01718993, -9.884932, 0.0008140859, 0.0008961327, 0.0007400793, -0.03370565, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 55994260, 10.66644, 0.09398417, -9.884474, 0.0008129426, 0.0009656477, 0.0007052626, -0.03370565, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 56014252, 10.73914, -0.01865427, -9.879374, 0.0008109922, 0.001051418, 0.0007640125, -0.03370565, -353633079, 1491652430, 1, 2.091, -0.255, -0.009000001
 56034244, 10.85081, 0.06802189, -9.884127, 0.00081182, 0.001154635, 0.0007806747, 0.3145861, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56054236, 10.81141, 0.0200181, -9.88685, 0.000811939, 0.001199716, 0.0008337889, 0.3145861, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56074228, 10.76811, -0.02266256, -9.888012, 0.000820962, 0.001371768, 0.0008344941, 0.3145861, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56094220, 10.74925, 0.09966137, -9.883658, 0.0008148807, 0.001440991, 0.0007473584, 0.3145861, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56114212, 10.73197, -0.06484014, -9.889707, 0.0008156169, 0.001421609, 0.0007355402, 0.3145861, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56134204, 10.72538, -0.117897, -9.886876, 0.0008142248, 0.001486203, 0.0007208014, -0.04494087, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56154196, 10.70562, -0.09064022, -9.884573, 0.0008120104, 0.001481507, 0.0007143401, -0.04494087, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56174188, 10.62518, 0.09543518, -9.885169, 0.0008115678, 0.001466349, 0.0007381445, -0.04494087, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56194180, 10.63985, 0.04325205, -9.885631, 0.0008172814, 0.001548532, 0.0007520252, -0.04494087, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56214172, 10.4841, -0.1056843, -9.882842, 0.0008158598, 0.001511815, 0.0007013035, -0.04494087, -353633060, 1491653132, 1, 3.698, -0.455, -0.018
 56234164, 10.49803, -0.05107197, -9.880966, 0.0008161256, 0.001581471, 0.0007163568, 0.2275131, -353631891, 1491652006, 1, 5.708, -0.701, -0.03
 56254156, 10.22105, -0.05924312, -9.882821, 0.0008207528, 0.001668985, 0.0006989036, 0.2275131, -353631891, 1491652006, 1, 5.708, -0.701, -0.03
