TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 46393935, -353629135, 1491651271, -1100166547, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46413927, -353629135, 1491651271, -1099727786, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46433919, -353629451, 1491650185, -1099312829, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46453911, -353629451, 1491650185, -1098931363, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46473903, -353629451, 1491650185, -1098701978, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46493895, -353629451, 1491650185, -1098483479, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46513887, -353629451, 1491650185, -1097336189, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46533879, -353629451, 1491650185, -1097123894, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46553871, -353629451, 1491650185, -1096909011, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46573863, -353629451, 1491650185, -1096701632, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46593855, -353629451, 1491650185, -1096494587, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46613847, -353629451, 1491650185, -1096295360, 354.0393, 354.0393, 2.795, -0.291, 0.066
 46633839, -353629048, 1491651070, -1096104540, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46653831, -353629048, 1491651070, -1095901223, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46673823, -353629048, 1491651070, -1095712091, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46693815, -353629048, 1491651070, -1095516037, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46713807, -353629048, 1491651070, -1095895926, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46733799, -353629048, 1491651070, -1095704410, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46753791, -353629048, 1491651070, -1095509948, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46773783, -353629048, 1491651070, -1095340646, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46793775, -353629048, 1491651070, -1095137494, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46813767, -353629048, 1491651070, -1094974888, 354.0176, 354.0176, 3.412, -0.357, 0.083
 46833759, -353629104, 1491650849, -1094819496, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46853751, -353629104, 1491650849, -1094622676, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46873743, -353629104, 1491650849, -1094441802, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46893735, -353629104, 1491650849, -1094261447, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46913727, -353629104, 1491650849, -1094170844, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46933719, -353629104, 1491650849, -1093972926, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46953711, -353629104, 1491650849, -1093819550, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46973703, -353629104, 1491650849, -1093637955, 354.039, 354.039, 3.982, -0.415, 0.09900001
 46993695, -353629104, 1491650849, -1093470661, 354.039, 354.039, 3.982, -0.415, 0.09900001
 47013687, -353629104, 1491650849, -1093267058, 354.039, 354.039, 3.982, -0.415, 0.09900001
 47033679, -353629068, 1491650798, -1093087776, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47053671, -353629068, 1491650798, -1092920555, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47073663, -353629068, 1491650798, -1092777101, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47093655, -353629068, 1491650798, -1092624878, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47113647, -353629068, 1491650798, -1092399039, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47133639, -353629068, 1491650798, -1092225394, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47153631, -353629068, 1491650798, -1092067094, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47173623, -353629068, 1491650798, -1091916743, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47193615, -353629068, 1491650798, -1091758172, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47213607, -353629068, 1491650798, -1091602626, 353.9998, 353.9998, 4.504, -0.473, 0.114
 47233599, -353629554, 1491650778, -1091448455, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47253591, -353629554, 1491650778, -1091304532, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47273583, -353629554, 1491650778, -1091182253, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47293575, -353629554, 1491650778, -1091033633, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47313567, -353629554, 1491650778, -1090818755, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47333559, -353629554, 1491650778, -1090684288, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47353551, -353629554, 1491650778, -1090524195, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47373543, -353629554, 1491650778, -1090438870, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47393535, -353629554, 1491650778, -1090357707, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47413527, -353629554, 1491650778, -1090282003, 354.0059, 354.0059, 4.985, -0.523, 0.128
 47433519, -353628766, 1491650934, -1090219908, 354.002, 354.002, 5.421, -0.569, 0.141
 47453511, -353628766, 1491650934, -1090155234, 354.002, 354.002, 5.421, -0.569, 0.141
 47473503, -353628766, 1491650934, -1090096528, 354.002, 354.002, 5.421, -0.569, 0.141
 47493495, -353628766, 1491650934, -1090034791, 354.002, 354.002, 5.421, -0.569, 0.141
 47513487, -353628766, 1491650934, -1090061717, 354.002, 354.002, 5.421, -0.569, 0.141
 47533479, -353628766, 1491650934, -1090000959, 354.002, 354.002, 5.421, -0.569, 0.141
 47554304, -353628766, 1491650934, -1089941034, 354.002, 354.002, 5.421, -0.569, 0.141
 47574296, -353628766, 1491650934, -1089878141, 354.002, 354.002, 5.421, -0.569, 0.141
 47594288, -353628766, 1491650934, -1089808834, 354.002, 354.002, 5.421, -0.569, 0.141
 47614280, -353628766, 1491650934, -1089732511, 354.002, 354.002, 5.421, -0.569, 0.141
 47634272, -353628487, 1491650579, -1089683103, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47654264, -353628487, 1491650579, -1089617415, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47674256, -353628487, 1491650579, -1089555080, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47694248, -353628487, 1491650579, -1089498689, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47714240, -353628487, 1491650579, -1089198367, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47734232, -353628487, 1491650579, -1089150932, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47754224, -353628487, 1491650579, -1089098782, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47774216, -353628487, 1491650579, -1089037184, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47794208, -353628487, 1491650579, -1088974246, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47814200, -353628487, 1491650579, -1088905472, 353.9982, 353.9982, 5.819, -0.611, 0.152
 47834192, -353628462, 1491650509, -1088854586, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47854184, -353628462, 1491650509, -1088808401, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47874176, -353628462, 1491650509, -1088744076, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47894168, -353628462, 1491650509, -1088692916, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47914160, -353628462, 1491650509, -1088381531, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47934152, -353628462, 1491650509, -1088324183, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47954144, -353628462, 1491650509, -1088264337, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47974136, -353628462, 1491650509, -1088185858, 353.9908, 353.9908, 6.181, -0.65, 0.163
 47994128, -353628462, 1491650509, -1088108486, 353.9908, 353.9908, 6.181, -0.65, 0.163
