TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 45994095, 3.503435, -0.000798353, -9.720922, 0.000670064, 0.000671185, 0.0006663812, -0.1568272, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 46014087, 3.507551, -0.01254199, -9.718085, 0.0006690334, 0.0006647737, 0.0006689876, -0.1568272, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 46034079, 3.418328, 0.0007220762, -9.725728, 0.0006736611, 0.000667978, 0.0006592994, -0.1960339, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46054071, 3.464673, 0.01498854, -9.723846, 0.0006691004, 0.0006658732, 0.0006435409, -0.1960339, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46074063, 3.421927, 0.03122457, -9.72151, 0.0006731473, 0.000667992, 0.0006291245, -0.1960339, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46094055, 3.369613, 0.0158731, -9.725708, 0.0006722012, 0.0006729463, 0.0005940578, -0.1960339, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46114047, 3.344779, 0.03855276, -9.720405, 0.0006714636, 0.0006732293, 0.0005861679, -0.1960339, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46134039, 3.323935, -0.01454416, -9.728906, 0.0006744283, 0.0006719327, 0.0006103996, -0.04480776, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46154031, 3.265622, -0.004648726, -9.732423, 0.0006732949, 0.0006738695, 0.0006010709, -0.04480776, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46174023, 3.27151, -0.008543405, -9.732152, 0.0006702632, 0.0006732974, 0.0005893166, -0.04480776, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46194015, 3.291015, 0.01532018, -9.728046, 0.0006749838, 0.0006729333, 0.0005491278, -0.04480776, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46214007, 3.244641, 0.02162739, -9.728999, 0.0006703612, 0.0006749153, 0.0005313429, -0.04480776, -353629296, 1491650797, 0, 1.425, -0.149, 0.027
 46233999, 3.2011, -0.01404845, -9.730906, 0.0006711709, 0.000675994, 0.0005486956, -0.2016349, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46253991, 3.200968, -0.0135696, -9.731625, 0.0006689535, 0.0006716807, 0.0005510981, -0.2016349, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46273983, 3.136634, 0.009152794, -9.728164, 0.0006723367, 0.0006669016, 0.000561388, -0.2016349, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46293975, 3.158952, -0.02363214, -9.726621, 0.0006695427, 0.0006696304, 0.0005452394, -0.2016349, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46313967, 3.099776, -0.007180277, -9.731104, 0.0006703627, 0.0006761882, 0.0005524156, -0.2016349, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46333959, 3.109307, -0.002643838, -9.730635, 0.0006746748, 0.0006732928, 0.0005567893, -0.08401455, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46353951, 3.059337, -0.0002666052, -9.733809, 0.0006728892, 0.0006744183, 0.0005462077, -0.08401455, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46373943, 3.026901, -0.01383576, -9.729816, 0.0006748077, 0.0006708873, 0.000536193, -0.08401455, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
 46393935, 3.01313, 0.01905288, -9.734438, 0.0006752312, 0.0006763985, 0.0005220482, -0.08401455, -353629135, 1491651271, -1, 2.131, -0.223, 0.048
