TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 56973868, -353629272, 1491650723, -1082976312, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56993860, -353629272, 1491650723, -1082660005, 353.9802, 353.9802, 7.832, -0.825, 0.181
 57013852, -353629272, 1491650723, -1082338703, 353.9802, 353.9802, 7.832, -0.825, 0.181
 57033844, -353629026, 1491650676, -1082061030, 354.011, 354.011, 9.81, -1.029, 0.239
 57053836, -353629026, 1491650676, -1081918247, 354.011, 354.011, 9.81, -1.029, 0.239
 57073828, -353629026, 1491650676, -1081741404, 354.011, 354.011, 9.81, -1.029, 0.239
 57093820, -353629026, 1491650676, -1081575711, 354.011, 354.011, 9.81, -1.029, 0.239
 57113812, -353629026, 1491650676, -1081485286, 354.011, 354.011, 9.81, -1.029, 0.239
 57133804, -353629026, 1491650676, -1081315954, 354.011, 354.011, 9.81, -1.029, 0.239
 57153796, -353629026, 1491650676, -1081147541, 354.011, 354.011, 9.81, -1.029, 0.239
 57173788, -353629026, 1491650676, -1080970243, 354.011, 354.011, 9.81, -1.029, 0.239
 57193780, -353629026, 1491650676, -1080806001, 354.011, 354.011, 9.81, -1.029, 0.239
 57213772, -353629026, 1491650676, -1080666457, 354.011, 354.011, 9.81, -1.029, 0.239
 57233764, -353629272, 1491650640, -1080515982, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57253756, -353629272, 1491650640, -1080350519, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57273748, -353629272, 1491650640, -1080233692, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57293740, -353629272, 1491650640, -1080065264, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57313732, -353629272, 1491650640, -1079966803, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57333724, -353629272, 1491650640, -1079813166, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57353716, -353629272, 1491650640, -1079683027, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57373708, -353629272, 1491650640, -1079561323, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57393700, -353629272, 1491650640, -1079439287, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57413692, -353629272, 1491650640, -1079306111, 353.9951, 353.9951, 11.578, -1.217, 0.273
 57433684, -353628442, 1491650982, -1079177143, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57453676, -353628442, 1491650982, -1079068425, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57473668, -353628442, 1491650982, -1078940446, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57493660, -353628442, 1491650982, -1078829897, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57513652, -353628442, 1491650982, -1078895246, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57533644, -353628442, 1491650982, -1078772240, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57553636, -353628442, 1491650982, -1078656494, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57573628, -353628442, 1491650982, -1078548606, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57593620, -353628442, 1491650982, -1078393459, 354.0019, 354.0019, 13.122, -1.378, 0.207
 57613612, -353628442, 1491650982, -1078207169, 354.0019, 354.0019, 13.122, -1.378, 0.207
