TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 82833520, 0.9942442, -0.0170789, -0.1057688, 0.01667148, 0.9998499, -0.004734954, 0.1058337, 0.002944379, 0.9943796
 82853512, 0.9942499, -0.01705783, -0.1057169, 0.01662995, 0.9998496, -0.004927605, 0.1057851, 0.003141203, 0.9943841
 82873504, 0.9942557, -0.01717249, -0.1056449, 0.01672646, 0.9998471, -0.005106639, 0.1057164, 0.00331024, 0.9943908
 82893496, 0.994243, -0.01731652, -0.1057405, 0.01684262, 0.9998437, -0.005373057, 0.105817, 0.003561176, 0.9943793
 82913488, 0.9942357, -0.01744847, -0.105788, 0.01695158, 0.9998407, -0.005594426, 0.1058688, 0.003768904, 0.994373
 82933480, 0.9942276, -0.01763416, -0.1058326, 0.01711574, 0.9998367, -0.005804807, 0.1059177, 0.003959895, 0.994367
 82954305, 0.9942138, -0.01781902, -0.1059316, 0.01727076, 0.9998323, -0.006090827, 0.1060224, 0.004226065, 0.9943548
 82974297, 0.9941988, -0.01785976, -0.1060653, 0.0172922, 0.9998309, -0.006268304, 0.1061593, 0.004397838, 0.9943395
 82994289, 0.9941899, -0.017838, -0.1061523, 0.01726202, 0.999831, -0.006342351, 0.1062475, 0.004473097, 0.9943296
 83014281, 0.9941944, -0.01780071, -0.1061161, 0.01722298, 0.9998316, -0.006358379, 0.1062114, 0.004493829, 0.9943334
 83034273, 0.9941961, -0.01783518, -0.1060953, 0.01724466, 0.9998303, -0.0064808, 0.1061929, 0.004613608, 0.9943349
 83054265, 0.9941859, -0.01783355, -0.1061908, 0.01723497, 0.99983, -0.006551901, 0.1062896, 0.004683611, 0.9943242
 83074257, 0.9941743, -0.01779775, -0.1063055, 0.01719909, 0.9998307, -0.006545652, 0.106404, 0.00467916, 0.994312
 83094249, 0.9941653, -0.01772742, -0.1064013, 0.01712788, 0.9998319, -0.00654596, 0.1064995, 0.004685338, 0.9943018
 83114241, 0.9941692, -0.01762605, -0.1063812, 0.0170224, 0.9998335, -0.006579795, 0.1064794, 0.004730567, 0.9943037
 83134233, 0.9941765, -0.01756752, -0.1063233, 0.01695752, 0.9998342, -0.006638681, 0.1064223, 0.004797041, 0.9943095
 83154225, 0.9941815, -0.01750245, -0.1062871, 0.01688467, 0.999835, -0.006709477, 0.106387, 0.004875815, 0.9943129
 83174217, 0.9941798, -0.01750965, -0.1063014, 0.0168842, 0.9998345, -0.006780965, 0.1064025, 0.004946684, 0.9943109
 83194209, 0.9941832, -0.01752436, -0.1062669, 0.01689787, 0.9998342, -0.006793055, 0.1063683, 0.004957857, 0.9943145
