TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 56094220, 7.770179, 0.03479726, -9.640504, 0.0008166571, 0.0008192589, 0.0009153251, -0.07864653, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56114212, 7.948728, 0.02646491, -9.630814, 0.0008149929, 0.0008170274, 0.0009099269, -0.07864653, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56134204, 8.154184, 0.02729548, -9.623945, 0.0008169527, 0.0008155814, 0.0008674219, -0.1067346, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56154196, 8.449687, 0.002446676, -9.617692, 0.0008178143, 0.0008177359, 0.000854844, -0.1067346, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56174188, 8.634318, -0.06344255, -9.610306, 0.0008196651, 0.0008184032, 0.0008124692, -0.1067346, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56194180, 8.834578, 0.04873286, -9.606471, 0.0008112284, 0.0008159387, 0.0007834688, -0.1067346, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56214172, 9.195216, -0.0216014, -9.609447, 0.0008184332, 0.000816358, 0.0008264984, -0.1067346, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56234164, 9.251529, 0.06257189, -9.602561, 0.0008237867, 0.0008161251, 0.0008618815, -0.08988174, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56254156, 9.431713, -0.02969306, -9.591012, 0.0008208129, 0.000815828, 0.0009041935, -0.08988174, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56274148, 9.604556, 0.04288222, -9.582845, 0.0008125904, 0.0008198021, 0.0008687391, -0.08988174, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56294140, 9.809853, 0.02474812, -9.579462, 0.0008141019, 0.0008171262, 0.0007512639, -0.08988174, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56314132, 10.02728, -0.01398178, -9.579121, 0.0008231901, 0.0008209469, 0.0007655242, -0.08988174, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56334124, 10.22012, -0.01744739, -9.570745, 0.0008183265, 0.00081306, 0.00072727, -0.01123522, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56354116, 10.33664, 0.01050103, -9.562109, 0.000820304, 0.0008491682, 0.0007778684, -0.01123522, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56374108, 10.56068, -0.01785072, -9.555254, 0.0008174351, 0.0009509043, 0.0007942183, -0.01123522, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56394100, 10.68454, 0.02744713, -9.553548, 0.0008182406, 0.0009919784, 0.0007566621, -0.01123522, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56414092, 10.72186, 0.03265658, -9.551406, 0.0008189331, 0.0009987853, 0.000696377, -0.01123522, -353629306, 1491650896, 0, 2.099, -0.22, 0.037
 56434084, 10.77698, -0.005225465, -9.5427, 0.0008238263, 0.001057458, 0.0006563996, -0.1741459, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56454076, 10.87376, -0.0734831, -9.537033, 0.0008246806, 0.001173434, 0.0007085746, -0.1741459, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56474068, 10.76993, 0.03170722, -9.534244, 0.0008249464, 0.001307225, 0.0007570136, -0.1741459, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56494060, 10.86446, -0.01452495, -9.528176, 0.0008185504, 0.001420176, 0.0006989325, -0.1741459, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56514052, 10.78253, 0.009394943, -9.518565, 0.0008211301, 0.001495039, 0.0006377794, -0.1741459, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56534044, 10.67101, 0.08121658, -9.521741, 0.0008203349, 0.001464512, 0.0006370418, 0.115161, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56554036, 10.70133, 0.00725223, -9.51886, 0.0008265531, 0.001474926, 0.0006730055, 0.115161, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56574028, 10.6052, -0.09541541, -9.519739, 0.0008201329, 0.001539503, 0.0007076241, 0.115161, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56594020, 10.46241, -0.04294191, -9.520231, 0.0008254133, 0.00166807, 0.0006807148, 0.115161, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56614012, 10.52467, -0.04487808, -9.516772, 0.0008311832, 0.001681908, 0.0007012775, 0.115161, -353629328, 1491650189, -1, 3.708, -0.39, 0.075
 56634004, 10.23259, 0.00736423, -9.518312, 0.0008225724, 0.001730054, 0.0006689325, -0.1348226, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56653996, 10.21565, 0.02938704, -9.521045, 0.0008195713, 0.001880343, 0.0007152958, -0.1348226, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56673988, 10.22416, -0.0004649765, -9.522612, 0.00082182, 0.002000776, 0.0007597245, -0.1348226, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56693980, 10.12139, -0.1312338, -9.522469, 0.00082759, 0.00204155, 0.0008024954, -0.1348226, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
