TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 162474092, 0.9749862, -0.1341634, 0.1772066, 0.1782704, 0.948194, -0.26296, -0.1327466, 0.2879731, 0.9483933
 162476272, 0.9752187, -0.132837, 0.1769265, 0.1776895, 0.9467126, -0.2686293, -0.1318147, 0.2934103, 0.9468555
 162478841, 0.9754356, -0.1321132, 0.1762711, 0.1773818, 0.9455468, -0.2729048, -0.1306183, 0.2974683, 0.9457545
 162481274, 0.9757671, -0.1310273, 0.1752442, 0.1770187, 0.9434699, -0.2802302, -0.1286198, 0.3044609, 0.9438011
 162484331, 0.9758907, -0.1302054, 0.1751681, 0.1767762, 0.9422486, -0.2844605, -0.1280136, 0.3085679, 0.9425489
 162486308, 0.9760116, -0.1289506, 0.1754225, 0.1763021, 0.9408668, -0.2892877, -0.1277454, 0.3132755, 0.9410312
 162488777, 0.9761978, -0.1282206, 0.1749211, 0.1759495, 0.9397603, -0.2930743, -0.1268057, 0.3168758, 0.9399522
 162491306, 0.9765782, -0.1271303, 0.1735885, 0.175378, 0.9377123, -0.2998974, -0.12465, 0.3233168, 0.9380451
 162494069, 0.9767447, -0.1264067, 0.17318, 0.1751217, 0.9363635, -0.3042299, -0.1237027, 0.3274825, 0.9367246
 162496327, 0.9768014, -0.125215, 0.1737244, 0.1747654, 0.9349394, -0.3087806, -0.1237578, 0.3319784, 0.9351334
 162498836, 0.9769211, -0.1244958, 0.173568, 0.1744558, 0.9339121, -0.3120472, -0.1232487, 0.3351254, 0.9340776
 162501280, 0.9772968, -0.1233898, 0.1722379, 0.1737497, 0.9319554, -0.3182302, -0.1212517, 0.3409316, 0.9322358
 162504260, 0.9775693, -0.1226883, 0.1711895, 0.1732949, 0.9304931, -0.322725, -0.1196961, 0.3451523, 0.9308828
 162506304, 0.9776928, -0.1214462, 0.1713698, 0.1728356, 0.928788, -0.3278427, -0.119351, 0.3501483, 0.9290596
 162508815, 0.9777381, -0.1206623, 0.1716644, 0.172583, 0.9277703, -0.3308433, -0.1193448, 0.3531045, 0.9279407
 162511310, 0.9780346, -0.1195436, 0.1707561, 0.1719361, 0.9257967, -0.3366577, -0.1178402, 0.358622, 0.9260151
 162514248, 0.9783753, -0.1187889, 0.1693255, 0.171267, 0.9242621, -0.3411854, -0.1159721, 0.3628071, 0.9246196
 162516306, 0.978741, -0.1175241, 0.1680901, 0.1704015, 0.9220591, -0.3475206, -0.1141469, 0.3687754, 0.9224832
 162518785, 0.978804, -0.1166055, 0.1683624, 0.1700145, 0.9209839, -0.3505481, -0.1141832, 0.371742, 0.9212873
 162521322, 0.9789104, -0.115286, 0.1686521, 0.169559, 0.9189806, -0.3559841, -0.113948, 0.3770729, 0.9191473
 162524981, 0.9791787, -0.1145549, 0.1675895, 0.1690347, 0.9172633, -0.360632, -0.1124115, 0.3814516, 0.9175283
 162526295, 0.9796999, -0.1135138, 0.165235, 0.1679646, 0.914742, -0.3674713, -0.1094343, 0.3877652, 0.915239
 162528843, 0.9799503, -0.1127082, 0.1642997, 0.1673055, 0.9132864, -0.3713714, -0.108196, 0.3914138, 0.913832
 162531315, 0.9800678, -0.1112895, 0.1645647, 0.1666572, 0.9114484, -0.3761482, -0.1081308, 0.3960766, 0.9118285
 162534074, 0.9801261, -0.110361, 0.1648431, 0.1663912, 0.9098039, -0.3802249, -0.1080128, 0.4000967, 0.9100856
 162536297, 0.9805404, -0.1092196, 0.1631311, 0.1655065, 0.9068096, -0.3876906, -0.1055855, 0.4071456, 0.9072399
 162538800, 0.9809303, -0.1087185, 0.1611087, 0.1646952, 0.9051089, -0.3919867, -0.1032047, 0.4110455, 0.9057541
 162541310, 0.9813086, -0.1077489, 0.1594481, 0.1636743, 0.9030856, -0.3970481, -0.1012138, 0.4157242, 0.9038413
 162544105, 0.9813625, -0.1067833, 0.1597656, 0.163271, 0.9017813, -0.4001666, -0.1013425, 0.4187935, 0.9024088
 162546311, 0.9814656, -0.1053311, 0.1600956, 0.162775, 0.8991023, -0.4063487, -0.1011412, 0.4248769, 0.8995833
 162548812, 0.981681, -0.1045347, 0.1592953, 0.1622691, 0.8968695, -0.4114534, -0.09985589, 0.4297647, 0.8974025
 162551345, 0.9822839, -0.1040202, 0.1558788, 0.1608932, 0.8945968, -0.4169052, -0.09608212, 0.4345991, 0.8954841
 162554080, 0.9825651, -0.1037053, 0.1543086, 0.1602072, 0.8934165, -0.4196912, -0.09433758, 0.4370953, 0.8944541
 162556290, 0.9825976, -0.1025524, 0.1548709, 0.1598753, 0.8914005, -0.4240814, -0.09456141, 0.4414614, 0.8922836
 162558808, 0.9825671, -0.1015425, 0.1557277, 0.1597526, 0.8895954, -0.4279007, -0.09508452, 0.4453191, 0.8903089
 162561297, 0.9828588, -0.1002667, 0.1547101, 0.1588477, 0.8865, -0.4346093, -0.09357364, 0.4517349, 0.8872315
 162564094, 0.9832508, -0.09999876, 0.152375, 0.1578497, 0.8851724, -0.437668, -0.09111191, 0.4543898, 0.8861313
 162566277, 0.9837462, -0.09988149, 0.1492219, 0.1566068, 0.8838116, -0.440853, -0.08785099, 0.4570566, 0.8850884
 162568827, 0.9837375, -0.09951742, 0.1495227, 0.156674, 0.8825188, -0.4434118, -0.08782935, 0.4596271, 0.8837584
 162571304, 0.9834997, -0.09820809, 0.1519329, 0.1571339, 0.8799131, -0.4483994, -0.08965126, 0.4648744, 0.880826
 162574727, 0.9835982, -0.09737885, 0.1518284, 0.1567265, 0.8780555, -0.4521674, -0.08928225, 0.4685466, 0.8789158
 162576316, 0.9841577, -0.0968477, 0.1485066, 0.1550658, 0.8762811, -0.4561646, -0.08595507, 0.4719662, 0.8774165
 162578800, 0.9845033, -0.09684429, 0.1462, 0.1541235, 0.8755481, -0.4578882, -0.08366127, 0.4733253, 0.876906
 162581287, 0.9845564, -0.09662831, 0.1459851, 0.1541384, 0.8738317, -0.4611504, -0.08300623, 0.4765305, 0.8752307
 162584118, 0.9843231, -0.09607136, 0.1479128, 0.1548206, 0.8723746, -0.4636737, -0.08448965, 0.4793047, 0.8735723
 162586272, 0.9843488, -0.09525483, 0.1482702, 0.1546981, 0.8700455, -0.4680699, -0.08441592, 0.4836811, 0.8711639
 162588815, 0.9846423, -0.09505706, 0.1464374, 0.1538478, 0.8689268, -0.4704223, -0.08252643, 0.4857267, 0.8702063
 162591289, 0.985221, -0.09515721, 0.1424243, 0.1521747, 0.8679444, -0.4727743, -0.07862844, 0.4874605, 0.8695976
 162594113, 0.9853124, -0.09510251, 0.141828, 0.1519846, 0.8670494, -0.4744745, -0.07784819, 0.4890612, 0.8687685
 162596329, 0.9851265, -0.09454133, 0.1434838, 0.1525835, 0.8653078, -0.4774524, -0.07901869, 0.4922443, 0.8668632
 162598790, 0.9850748, -0.09411825, 0.1441156, 0.1527676, 0.8638249, -0.4800715, -0.07930716, 0.4949225, 0.8653104
 162601343, 0.9854157, -0.09410336, 0.1417768, 0.1518554, 0.8622749, -0.4831375, -0.07678571, 0.4976209, 0.8639894
 162604298, 0.985754, -0.09433431, 0.1392488, 0.15089, 0.8617557, -0.4843647, -0.07430626, 0.4984757, 0.8637132
 162606301, 0.9859499, -0.09465098, 0.1376373, 0.1504773, 0.8610026, -0.4858303, -0.07252179, 0.4997157, 0.8631483
 162608822, 0.9858714, -0.09450888, 0.1382961, 0.1508446, 0.8598808, -0.4876997, -0.0728262, 0.5016704, 0.8619879
 162611285, 0.9858692, -0.09415934, 0.1385497, 0.1510115, 0.85754, -0.4917529, -0.07250878, 0.5057266, 0.8596413
 162614243, 0.9860743, -0.09408596, 0.1371329, 0.1504063, 0.8563724, -0.4939677, -0.07096137, 0.5077146, 0.8585979
 162616285, 0.9864888, -0.09453167, 0.1338051, 0.1491634, 0.8560236, -0.4949487, -0.06775197, 0.50822, 0.8585582
 162618852, 0.9865994, -0.09469204, 0.1328721, 0.1488691, 0.8557343, -0.4955369, -0.06677978, 0.5086771, 0.8583637
 162621341, 0.9865439, -0.09472159, 0.1332632, 0.1493076, 0.8540795, -0.4982525, -0.06662213, 0.5114452, 0.8567295
 162624091, 0.9865577, -0.09455163, 0.1332813, 0.1494003, 0.8523243, -0.5012214, -0.0662076, 0.5143961, 0.8549932
 162626310, 0.9868142, -0.09474923, 0.1312264, 0.1487023, 0.8508843, -0.5038687, -0.06391733, 0.5167384, 0.8537542
 162628822, 0.986991, -0.09484689, 0.1298187, 0.1481108, 0.8505129, -0.5046695, -0.06254616, 0.5173317, 0.8534963
